"","ResponseId","Q71","Q7_4"
"257","R_3jTc1MhBLrHKIAT","PSU Dorm (Blackstone)",0
"258","R_22P58sdrUCbz4ZS","Murray Scholls",9
"259","R_OkDKekFK5hdXUHf","Hwy 26 and Glencoe Road",20
"260","R_3s0lvbQcItQ4A6y","SW 52nd at Garden Home",13
"261","R_DpgnRDlzDE0eVA5","Cornelius Pass Road and Main st",12
"262","R_1FtUHfPo7FsotEs","Burnside and 162ND ave",15
"263","R_9ZVlf9NRhhGIHst","SE Woodstock and SE 52nd Ave",5
"264","R_2Cwcdtk9kPzZh1M","SE Hawthorne and 34th",5
"265","R_338d9hMQKOviYh1","SW 64th and Center",5
"266","R_2e8Z6R3yFS6xhCB","Stark",14
"267","R_TcGNYW06yzqDlYd","NW Barnes and NW Cornell",8
"268","R_3fpkg6eHe0QeUtP","Burnside and 20th",4
"269","R_2XcWeLXoBVhelUQ","SE Ceaser Chavez and SE Malden",6
"270","R_1eQMVVRW6kOimtI","Jefferson",5
"271","R_2DSU1dTuaWWyVCh","NE Cornell Rd",19
"272","R_6gOUUHWJ8sQ9MnD","SE Mabel and Webster",15
"273","R_yIsAeuAZHElyC1r","durham",12
"274","R_22xFfuHBTH314xc","SE Division and 48th",4
"275","R_TuxQRDYCxd0uB8Z","Eugene",-1
"276","R_3O215IVKvmmZrnM","Sw Taylor and sw 15th",2
"277","R_271lj7CsJplYUpE","SW lIncoln and 4th Avenue",0
"278","R_3PEVqE9hKaDQA4j","NW 21st Ave. and Everett St.",2
"279","R_24BMBE6rj9SR8Gn","Walker and murray",9
"280","R_3sb8cYVmBygORDX","SW Park Ave and SW Jackson St",0
"281","R_uyRSG37u0gP9VHX","Burnside and Hogan",20
"282","R_2tgpFQ9jxk9WRKP","Westfield st",30
"283","R_3HY1Omm6RRbmC23","I live in WA",-1
"284","R_3PAjzxqE9oSwjik","82nd and Johnson’s creek",12
"285","R_2amgKGPbZ5Vzvz0","NW 12th and northrup",3
"286","R_117VVQtJWwRfyvU","SW Park and Mill",1
"287","R_3yBULEgZF8OFOW5","NE Hogan and Division",20
"288","R_24FWNA5kvusnPp7","Not in Portland/ would give away too much",25
"289","R_RlYtWpXhDcmnxap","NE Glisan and NE Cesar E Chavez",4
"290","R_0lhuTof65vW4HER","NW Thompson and NW Saltzman Rd",8
"291","R_PU6wr175xdNc2HL","Sw 117th and Sw Canyon rd",7
"292","R_31iT1kGGQ0oTzGm","32nd and Holgate",4
"293","R_urK5bnSO30RKG8V","SW Broadway and SW Market",0
"294","R_urIsrmriQuu50Pv","N Chataqua and N Willis",8
"295","R_3e2WWqPtDXLmtup","NE MLK & NE Stanton",5
"296","R_1F2GSs1fqAstPZn","42nd and Fremont",8
"297","R_26ndh0iyAXO4dGX","Pacific Hwy and Tualatin Sherwood Rd",15
"298","R_1QEg0BTQ6Irq7vV","10th and Montgomery",0
"299","R_3IPIy0XHzWGKEZW","Montgomery and Clay",-1
"300","R_2AXoGKpN4Ne8W8h","Mountain sun dr and 122nd",0
"301","R_3hgtX2q6zXpzX6R","SW Broadway",0
"302","R_Z2UL2Lftm6nA7fz","college & Park",0
"303","R_2DP3vL24zveQi6S","11th and park",0
"304","R_1N4TJsL9SQmcg2w","SW 185th and  SW TV Hwy",17
"305","R_1jfEOj5rqco7Eh8","Skyline and fairview",3
